Country,EdLevel,LearnCode,Age,YearsCodePro,Salary
"Iran, Islamic Republic of...",Bachelor’s degree,Online Resources,25-34 years old,7.0,85500.0
France,Master’s degree,Online Resources,25-34 years old,9.0,64859.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,3.0,42158.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,2.0,60000.0
Netherlands,Master’s degree,Bootcamp,25-34 years old,5.0,51888.0
Germany,PHD,Others,35-44 years old,8.0,74588.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,18-24 years old,3.0,50153.0
France,Master’s degree,Online Resources,25-34 years old,7.0,77831.0
Germany,Master’s degree,School,18-24 years old,2.0,54049.0
France,Master’s degree,Others,35-44 years old,15.0,77831.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,9.0,107972.0
United Kingdom of Great Britain and Northern Ireland,PHD,Online Resources,25-34 years old,4.0,51704.0
Netherlands,Less than a Bachelors,Online Resources,35-44 years old,15.0,43239.0
Germany,Bachelor’s degree,Online Resources,35-44 years old,15.0,70264.0
Germany,Master’s degree,School,35-44 years old,21.0,70264.0
Sweden,Bachelor’s degree,Others,45-54 years old,26.0,81000.0
United States of America,Less than a Bachelors,Others,35-44 years old,22.0,105000.0
Germany,Master’s degree,School,35-44 years old,5.0,56211.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,7.0,64630.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,11.0,64859.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,6.0,48644.0
Poland,Master’s degree,School,25-34 years old,11.0,54672.0
Canada,Bachelor’s degree,School,25-34 years old,4.0,75631.0
United States of America,Less than a Bachelors,Online Resources,65 years or older,39.0,70000.0
Germany,Master’s degree,Others,25-34 years old,9.0,58373.0
United States of America,Less than a Bachelors,School,25-34 years old,4.0,58000.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,6.0,61616.0
France,PHD,Others,35-44 years old,13.0,59454.0
Sweden,PHD,School,25-34 years old,3.0,55224.0
Canada,Master’s degree,School,25-34 years old,6.0,68068.0
United States of America,Bachelor’s degree,Others,18-24 years old,4.0,74000.0
Canada,Bachelor’s degree,School,25-34 years old,8.0,71850.0
Canada,Bachelor’s degree,School,35-44 years old,14.0,66934.0
Spain,Bachelor’s degree,Online Resources,25-34 years old,10.0,64860.0
Switzerland,Less than a Bachelors,School,18-24 years old,1.0,54888.0
Russian Federation,Master’s degree,School,35-44 years old,20.0,56616.0
France,Master’s degree,Online Resources,25-34 years old,1.0,48104.0
Netherlands,Bachelor’s degree,Online Resources,35-44 years old,20.0,84312.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,45-54 years old,24.0,55582.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,45-54 years old,27.0,71093.0
Russian Federation,Less than a Bachelors,School,25-34 years old,3.0,72000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,35-44 years old,21.0,60752.0
United States of America,PHD,Online Resources,35-44 years old,6.0,90000.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,3.0,67000.0
Switzerland,Master’s degree,Others,35-44 years old,16.0,101649.0
Austria,Master’s degree,School,25-34 years old,4.0,64860.0
Canada,Bachelor’s degree,Online Resources,25-34 years old,2.0,90000.0
France,Master’s degree,Online Resources,25-34 years old,3.0,48644.0
Sweden,Bachelor’s degree,Online Resources,25-34 years old,5.0,54769.0
Poland,Bachelor’s degree,Online Resources,25-34 years old,5.0,45564.0
Ukraine,Less than a Bachelors,Online Resources,25-34 years old,6.0,54804.0
United States of America,Bachelor’s degree,School,25-34 years old,4.0,70000.0
France,Master’s degree,School,35-44 years old,10.0,97288.0
Canada,Less than a Bachelors,School,25-34 years old,7.0,90758.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Others,25-34 years old,6.0,54224.0
Switzerland,Master’s degree,School,25-34 years old,7.0,81319.0
United States of America,Bachelor’s degree,School,35-44 years old,4.0,85000.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,1.0,64859.0
Netherlands,Master’s degree,School,55-64 years old,30.0,62268.0
United States of America,Master’s degree,School,25-34 years old,2.0,100000.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,3.0,92000.0
Switzerland,Less than a Bachelors,Others,35-44 years old,10.0,92500.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,5.0,71093.0
"Iran, Islamic Republic of...",Bachelor’s degree,Others,18-24 years old,5.0,42756.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,19.0,65000.0
Spain,PHD,Others,35-44 years old,20.0,64859.0
Belgium,Master’s degree,School,25-34 years old,7.0,64860.0
Germany,Bachelor’s degree,School,25-34 years old,3.0,59454.0
France,Master’s degree,Online Resources,25-34 years old,9.0,45396.0
Ukraine,Bachelor’s degree,Others,25-34 years old,11.0,60000.0
Ukraine,Bachelor’s degree,School,25-34 years old,9.0,53832.0
Brazil,Bachelor’s degree,School,25-34 years old,12.0,96204.0
France,Master’s degree,School,25-34 years old,6.0,88640.0
United Kingdom of Great Britain and Northern Ireland,PHD,Online Resources,35-44 years old,10.0,49765.0
France,Master’s degree,School,25-34 years old,10.0,48644.0
United States of America,Bachelor’s degree,School,25-34 years old,8.0,57765.0
Canada,Bachelor’s degree,Online Resources,25-34 years old,9.0,83194.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,13.0,69183.0
Norway,Bachelor’s degree,Online Resources,25-34 years old,6.0,64737.0
Italy,Less than a Bachelors,School,25-34 years old,8.0,47563.0
France,Master’s degree,School,25-34 years old,6.0,69183.0
Austria,Bachelor’s degree,School,35-44 years old,8.0,70264.0
France,Master’s degree,Others,35-44 years old,7.0,64859.0
Italy,Master’s degree,School,35-44 years old,17.0,59454.0
United States of America,Less than a Bachelors,Online Resources,35-44 years old,17.0,78750.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,10.0,63854.0
Netherlands,Master’s degree,School,25-34 years old,4.0,46482.0
United States of America,Less than a Bachelors,Online Resources,18-24 years old,5.0,72000.0
Sweden,Master’s degree,School,25-34 years old,6.0,85908.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,7.0,86478.0
Poland,Less than a Bachelors,Online Resources,25-34 years old,8.0,45564.0
United States of America,Bachelor’s degree,School,45-54 years old,25.0,98000.0
Germany,Less than a Bachelors,Others,35-44 years old,18.0,54049.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,3.0,73500.0
Netherlands,Master’s degree,Others,35-44 years old,7.0,56211.0
Poland,Master’s degree,Online Resources,25-34 years old,6.0,60744.0
United States of America,Bachelor’s degree,Bootcamp,25-34 years old,1.0,82000.0
United States of America,PHD,School,25-34 years old,10.0,105000.0
Germany,Bachelor’s degree,Others,45-54 years old,5.0,101612.0
Netherlands,Bachelor’s degree,School,25-34 years old,6.0,50806.0
France,Master’s degree,Online Resources,25-34 years old,5.0,45401.0
United States of America,Master’s degree,School,25-34 years old,10.0,58000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,3.0,48472.0
Germany,Bachelor’s degree,Others,25-34 years old,7.0,43239.0
Germany,PHD,School,25-34 years old,7.0,51888.0
Spain,Bachelor’s degree,Others,45-54 years old,30.0,45396.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,2.0,70000.0
Netherlands,Master’s degree,Online Resources,35-44 years old,9.0,57072.0
United States of America,Bachelor’s degree,Others,45-54 years old,9.0,96000.0
Germany,Less than a Bachelors,Others,45-54 years old,14.0,56208.0
Austria,Less than a Bachelors,Online Resources,18-24 years old,3.0,42156.0
Israel,Bachelor’s degree,Bootcamp,35-44 years old,8.0,91056.0
Canada,Less than a Bachelors,School,45-54 years old,25.0,68068.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,4.0,49119.0
United States of America,Less than a Bachelors,Others,35-44 years old,4.0,55702.0
United States of America,Bachelor’s degree,School,18-24 years old,4.0,72000.0
Italy,Less than a Bachelors,Others,25-34 years old,12.0,45401.0
Czech Republic,Less than a Bachelors,Online Resources,25-34 years old,9.0,54564.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,14.0,75885.0
United States of America,Bachelor’s degree,Others,45-54 years old,35.0,70000.0
United States of America,Less than a Bachelors,Online Resources,25-34 years old,4.0,105000.0
Sweden,Master’s degree,School,45-54 years old,24.0,68724.0
Germany,Master’s degree,Online Resources,35-44 years old,10.0,77832.0
Sweden,Bachelor’s degree,School,35-44 years old,7.0,50928.0
Canada,Bachelor’s degree,Online Resources,25-34 years old,5.0,77900.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,School,25-34 years old,6.0,51704.0
France,Master’s degree,School,35-44 years old,16.0,50806.0
France,Master’s degree,Others,55-64 years old,30.0,108100.0
Belgium,PHD,Online Resources,35-44 years old,12.0,103776.0
United States of America,Master’s degree,Online Resources,25-34 years old,2.0,45000.0
Germany,Master’s degree,School,25-34 years old,4.0,45401.0
United States of America,Bachelor’s degree,School,25-34 years old,8.0,66500.0
France,Master’s degree,School,25-34 years old,6.0,46482.0
France,Professional degree,Online Resources,35-44 years old,3.0,54049.0
Germany,Professional degree,Others,25-34 years old,12.0,54049.0
United Kingdom of Great Britain and Northern Ireland,PHD,Others,25-34 years old,1.0,71093.0
Brazil,Less than a Bachelors,Others,25-34 years old,14.0,65976.0
Canada,Bachelor’s degree,School,18-24 years old,1.0,49160.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,3.0,64000.0
Czech Republic,Master’s degree,Online Resources,25-34 years old,9.0,57156.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,35-44 years old,8.0,50411.0
Germany,Master’s degree,Others,25-34 years old,4.0,54049.0
Brazil,Bachelor’s degree,School,18-24 years old,4.0,59448.0
Poland,Bachelor’s degree,Others,25-34 years old,14.0,105300.0
France,Master’s degree,Others,25-34 years old,4.0,46482.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,2.0,74970.0
Canada,Bachelor’s degree,School,25-34 years old,3.0,52942.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,3.0,85000.0
Austria,Bachelor’s degree,Online Resources,25-34 years old,2.0,45401.0
Sweden,Master’s degree,School,25-34 years old,6.0,53388.0
Germany,Bachelor’s degree,Online Resources,18-24 years old,2.0,54049.0
Netherlands,PHD,Others,55-64 years old,24.0,57720.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,7.0,54480.0
Germany,Bachelor’s degree,Others,35-44 years old,11.0,51887.0
Germany,Less than a Bachelors,Online Resources,25-34 years old,10.0,77831.0
Italy,Less than a Bachelors,Online Resources,35-44 years old,21.0,81074.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,3.0,84019.0
Poland,Master’s degree,Online Resources,25-34 years old,5.0,60744.0
Germany,Master’s degree,Online Resources,18-24 years old,0.5,51888.0
Czech Republic,Bachelor’s degree,School,35-44 years old,19.0,51960.0
Austria,Master’s degree,Others,25-34 years old,7.0,49941.0
Germany,Master’s degree,Online Resources,25-34 years old,6.0,84312.0
Germany,Master’s degree,School,25-34 years old,7.0,81074.0
Germany,Master’s degree,School,35-44 years old,10.0,68102.0
Russian Federation,Bachelor’s degree,Online Resources,25-34 years old,2.0,72000.0
Czech Republic,Less than a Bachelors,Online Resources,25-34 years old,15.0,41568.0
France,Master’s degree,School,25-34 years old,3.0,81074.0
France,Master’s degree,School,25-34 years old,2.0,45401.0
Russian Federation,Master’s degree,Others,25-34 years old,8.0,45300.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,4.0,51704.0
United States of America,Less than a Bachelors,Others,25-34 years old,4.0,75000.0
Germany,Bachelor’s degree,Online Resources,45-54 years old,25.0,81074.0
Czech Republic,Master’s degree,Others,35-44 years old,10.0,62352.0
Belgium,Master’s degree,Others,55-64 years old,35.0,97288.0
France,Master’s degree,Others,25-34 years old,4.0,48644.0
Netherlands,Master’s degree,School,25-34 years old,3.0,51888.0
India,Master’s degree,School,25-34 years old,6.0,64224.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,12.0,56211.0
Canada,Master’s degree,Online Resources,35-44 years old,15.0,75631.0
Italy,Less than a Bachelors,School,25-34 years old,6.0,55130.0
Canada,Bachelor’s degree,Online Resources,35-44 years old,10.0,68068.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,35-44 years old,15.0,65922.0
Norway,Less than a Bachelors,Online Resources,45-54 years old,20.0,61608.0
Germany,Less than a Bachelors,Others,45-54 years old,20.0,79993.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,100000.0
United States of America,Bachelor’s degree,Others,25-34 years old,5.0,80325.0
Spain,Less than a Bachelors,Others,45-54 years old,20.0,58373.0
Mexico,Bachelor’s degree,School,25-34 years old,8.0,47184.0
Germany,Bachelor’s degree,Others,35-44 years old,23.0,64859.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,3.0,82750.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Others,35-44 years old,5.0,71093.0
Germany,Master’s degree,Online Resources,25-34 years old,7.0,88208.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,6.0,46533.0
Netherlands,Bachelor’s degree,Online Resources,25-34 years old,11.0,59544.0
Germany,Master’s degree,Online Resources,35-44 years old,7.0,91883.0
United States of America,Less than a Bachelors,Others,55-64 years old,43.0,83000.0
United States of America,Bachelor’s degree,School,25-34 years old,3.0,75636.0
United States of America,Bachelor’s degree,Online Resources,35-44 years old,1.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Professional degree,Online Resources,35-44 years old,15.0,103408.0
Poland,Bachelor’s degree,Online Resources,18-24 years old,4.0,55200.0
France,PHD,Others,45-54 years old,29.0,83236.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,25-34 years old,9.0,87896.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,6.0,80000.0
France,Master’s degree,Others,35-44 years old,13.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,35-44 years old,20.0,89189.0
Germany,Bachelor’s degree,School,25-34 years old,5.0,51887.0
Netherlands,Master’s degree,Online Resources,25-34 years old,7.0,60535.0
Canada,Bachelor’s degree,School,35-44 years old,16.0,52942.0
United States of America,Bachelor’s degree,Others,35-44 years old,21.0,90000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,School,35-44 years old,12.0,82726.0
Switzerland,Less than a Bachelors,Online Resources,25-34 years old,6.0,80008.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,1.0,65000.0
Italy,PHD,Others,55-64 years old,38.0,51888.0
France,Master’s degree,Others,25-34 years old,3.0,48644.0
Germany,Bachelor’s degree,Others,25-34 years old,11.0,81074.0
Canada,Bachelor’s degree,School,18-24 years old,2.0,66556.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,6.0,86478.0
Israel,Less than a Bachelors,Online Resources,18-24 years old,3.0,45528.0
Turkey,Master’s degree,School,45-54 years old,26.0,63120.0
United States of America,Bachelor’s degree,Others,45-54 years old,16.0,105000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,7.0,83200.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,4.0,81000.0
United States of America,Master’s degree,School,25-34 years old,8.0,106000.0
Sweden,Less than a Bachelors,Others,45-54 years old,32.0,85908.0
United Kingdom of Great Britain and Northern Ireland,PHD,School,35-44 years old,15.0,51704.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,7.0,60427.0
Canada,Less than a Bachelors,Online Resources,25-34 years old,3.0,60505.0
Germany,Master’s degree,Others,35-44 years old,12.0,108098.0
United States of America,PHD,School,25-34 years old,3.0,93000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,5.0,77250.0
Italy,Master’s degree,Others,35-44 years old,8.0,64859.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,35-44 years old,12.0,87638.0
Germany,Less than a Bachelors,Online Resources,45-54 years old,20.0,75669.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,6.0,104000.0
France,Master’s degree,Others,45-54 years old,21.0,68102.0
Germany,Less than a Bachelors,Online Resources,18-24 years old,5.0,47563.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,10.0,64630.0
Switzerland,Master’s degree,School,25-34 years old,2.0,69121.0
Netherlands,Bachelor’s degree,Others,45-54 years old,24.0,47563.0
India,Bachelor’s degree,Bootcamp,25-34 years old,8.0,57240.0
France,Master’s degree,School,25-34 years old,6.0,44320.0
United States of America,Bachelor’s degree,School,25-34 years old,5.0,65000.0
Canada,Less than a Bachelors,School,35-44 years old,20.0,60505.0
Netherlands,Less than a Bachelors,School,25-34 years old,2.0,88640.0
United States of America,Bachelor’s degree,School,25-34 years old,2.0,68000.0
United States of America,Bachelor’s degree,Others,25-34 years old,2.0,60000.0
Germany,Master’s degree,Others,35-44 years old,3.0,81074.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,45-54 years old,16.0,49119.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,7.0,66000.0
Israel,Bachelor’s degree,Online Resources,25-34 years old,3.0,63036.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,1.0,90000.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,1.0,65000.0
Germany,Bachelor’s degree,Others,18-24 years old,3.0,60972.0
Germany,PHD,Online Resources,25-34 years old,6.0,62481.0
France,Master’s degree,Online Resources,25-34 years old,18.0,51887.0
United States of America,Bachelor’s degree,School,45-54 years old,11.0,105000.0
Netherlands,Bachelor’s degree,School,35-44 years old,17.0,71340.0
United States of America,Less than a Bachelors,Online Resources,35-44 years old,3.0,70000.0
Netherlands,Bachelor’s degree,School,35-44 years old,12.0,59454.0
Italy,Master’s degree,School,45-54 years old,26.0,45401.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,School,25-34 years old,6.0,47826.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,25-34 years old,11.0,64630.0
Germany,PHD,School,45-54 years old,16.0,84316.0
Netherlands,Bachelor’s degree,Others,45-54 years old,21.0,81074.0
Czech Republic,Less than a Bachelors,School,25-34 years old,9.0,41568.0
Italy,Master’s degree,Online Resources,25-34 years old,9.0,57292.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,5.0,73507.0
Austria,Less than a Bachelors,Online Resources,45-54 years old,23.0,51372.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Others,35-44 years old,16.0,59459.0
Germany,Master’s degree,Others,55-64 years old,35.0,54070.0
Poland,Master’s degree,School,25-34 years old,5.0,66828.0
Poland,Bachelor’s degree,Others,25-34 years old,10.0,75937.0
Israel,Bachelor’s degree,Online Resources,25-34 years old,0.5,98064.0
Spain,Less than a Bachelors,Online Resources,25-34 years old,9.0,81074.0
Czech Republic,Less than a Bachelors,Online Resources,35-44 years old,12.0,57156.0
Poland,Master’s degree,Online Resources,25-34 years old,5.0,45564.0
France,Master’s degree,Online Resources,25-34 years old,7.0,52968.0
Germany,Master’s degree,School,25-34 years old,7.0,85397.0
Germany,Master’s degree,Others,35-44 years old,10.0,97288.0
United States of America,Master’s degree,School,35-44 years old,13.0,105000.0
Canada,Master’s degree,School,25-34 years old,10.0,90758.0
Germany,Master’s degree,Online Resources,35-44 years old,12.0,69183.0
United States of America,Bachelor’s degree,Online Resources,65 years or older,31.0,82000.0
United States of America,Bachelor’s degree,School,25-34 years old,5.0,76000.0
United States of America,Bachelor’s degree,Online Resources,45-54 years old,42.0,70000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Online Resources,25-34 years old,7.0,55582.0
Russian Federation,Master’s degree,School,25-34 years old,11.0,43404.0
United States of America,Bachelor’s degree,School,35-44 years old,13.0,97000.0
Brazil,Bachelor’s degree,School,18-24 years old,6.0,54972.0
Germany,Bachelor’s degree,Others,45-54 years old,20.0,75669.0
Canada,Master’s degree,Online Resources,25-34 years old,6.0,96808.0
Switzerland,Less than a Bachelors,Online Resources,18-24 years old,4.0,67092.0
United States of America,Bachelor’s degree,Online Resources,18-24 years old,4.0,76000.0
United States of America,Bachelor’s degree,Online Resources,25-34 years old,6.0,60000.0
Netherlands,Master’s degree,School,45-54 years old,21.0,81074.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Resources,25-34 years old,4.0,77556.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Others,25-34 years old,11.0,77556.0
Canada,Less than a Bachelors,Online Resources,45-54 years old,20.0,56723.0
Canada,Professional degree,Online Resources,25-34 years old,5.0,75631.0
United States of America,Master’s degree,Online Resources,25-34 years old,5.0,103000.0
United States of America,Master’s degree,Online Resources,25-34 years old,6.0,95000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,School,25-34 years old,2.0,64630.0
Brazil,Bachelor’s degree,Bootcamp,25-34 years old,5.0,82464.0
Germany,PHD,Others,35-44 years old,2.0,108098.0
Canada,Less than a Bachelors,School,25-34 years old,5.0,75631.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,13.0,84316.0
Netherlands,Master’s degree,Online Resources,25-34 years old,2.0,60535.0
Canada,Less than a Bachelors,Online Resources,18-24 years old,5.0,86976.0
Germany,Master’s degree,School,35-44 years old,20.0,64859.0
Germany,Less than a Bachelors,Online Resources,35-44 years old,6.0,67021.0
United States of America,Bachelor’s degree,School,18-24 years old,2.0,86000.0
France,Master’s degree,School,25-34 years old,5.0,42158.0
Canada,Less than a Bachelors,Others,35-44 years old,5.0,60505.0
Canada,Bachelor’s degree,School,25-34 years old,8.0,73741.0
Germany,Bachelor’s degree,Others,25-34 years old,8.0,62697.0
Brazil,Less than a Bachelors,Online Resources,35-44 years old,11.0,65976.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,Others,45-54 years old,9.0,51704.0
France,PHD,School,35-44 years old,8.0,43239.0
Ukraine,Master’s degree,School,35-44 years old,16.0,85650.0
Netherlands,Master’s degree,Online Resources,25-34 years old,8.0,108098.0
Poland,Master’s degree,Online Resources,25-34 years old,6.0,45564.0
Italy,Bachelor’s degree,Online Resources,35-44 years old,13.0,54049.0
United States of America,Bachelor’s degree,School,25-34 years old,2.0,70000.0
Austria,Master’s degree,School,25-34 years old,6.0,70264.0
Italy,Master’s degree,Online Resources,35-44 years old,10.0,54049.0
Germany,Master’s degree,Online Resources,25-34 years old,6.0,64860.0
Germany,Bachelor’s degree,Online Resources,25-34 years old,4.0,62268.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,35-44 years old,10.0,51704.0
France,Master’s degree,School,35-44 years old,11.0,99450.0
United States of America,Master’s degree,Online Resources,35-44 years old,8.0,72000.0
Poland,Master’s degree,Online Resources,35-44 years old,6.0,72900.0
Canada,Bachelor’s degree,Online Resources,25-34 years old,10.0,56723.0
Germany,Less than a Bachelors,Others,18-24 years old,5.0,55776.0
Spain,Less than a Bachelors,Others,35-44 years old,13.0,97288.0
Germany,Master’s degree,Others,25-34 years old,7.0,42036.0
United States of America,Bachelor’s degree,School,25-34 years old,9.0,70000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Online Resources,25-34 years old,10.0,103408.0
Canada,Less than a Bachelors,School,35-44 years old,10.0,50673.0
Australia,Less than a Bachelors,Bootcamp,25-34 years old,0.5,60132.0
